nodes,dijkstra_time,dijkstra_memory,bellman_ford_time,bellman_ford_memory
10,3.820005804300308e-05,744,4.400033503770828e-05,816
50,0.00013229995965957642,4952,0.0009973999112844467,19656
100,0.00024880003184080124,7936,0.005324600264430046,60160
200,0.0011416003108024597,15816,0.044652499724179506,241192
400,0.0016085999086499214,33744,0.3320774002932012,1059560
